# Date	2018_rel1 GMSL w/ seasonal signals and GIA removed (mm)
1992.960	-31.0
1992.985	-33.1
1993.010	-30.9
1993.039	-33.0
1993.064	-35.8
1993.096	-36.7
1993.119	-34.0
1993.147	-29.6
1993.175	-28.4
1993.202	-28.4
1993.229	-29.0
1993.283	-31.0
1993.311	-26.2
1993.338	-27.7
1993.365	-26.5
1993.392	-30.5
1993.419	-31.0
1993.446	-28.3
1993.474	-25.5
1993.501	-25.2
1993.528	-25.1
1993.582	-30.2
1993.610	-29.0
1993.637	-26.2
1993.664	-25.2
1993.691	-28.1
1993.717	-31.0
1993.745	-28.8
1993.772	-25.0
1993.799	-27.4
1993.854	-27.8
1993.881	-29.7
1993.908	-28.9
1993.935	-27.2
1993.963	-22.3
1993.989	-23.5
1994.017	-29.5
1994.044	-26.3
1994.071	-24.7
1994.098	-28.1
1994.126	-29.3
1994.153	-26.8
1994.180	-23.0
1994.234	-24.0
1994.261	-23.0
1994.289	-22.1
1994.316	-21.9
1994.343	-24.7
1994.370	-26.2
1994.397	-28.4
1994.424	-25.2
1994.451	-21.5
1994.506	-27.6
1994.533	-24.9
1994.560	-24.8
1994.587	-24.0
1994.615	-24.5
1994.642	-23.4
1994.669	-24.8
1994.696	-23.8
1994.723	-25.7
1994.750	-26.1
1994.777	-25.5
1994.805	-22.1
1994.832	-22.7
1994.886	-27.2
1994.913	-29.1
1994.941	-22.6
1994.968	-20.9
1994.995	-21.6
1995.022	-20.7
1995.049	-23.2
1995.076	-17.6
1995.104	-20.9
1995.131	-24.7
1995.158	-21.3
1995.212	-17.2
1995.239	-23.4
1995.267	-21.2
1995.294	-20.1
1995.321	-20.9
1995.375	-23.1
1995.402	-20.8
1995.429	-18.1
1995.457	-20.3
1995.484	-24.0
1995.538	-26.4
1995.565	-24.6
1995.592	-24.2
1995.620	-22.4
1995.647	-24.4
1995.674	-24.1
1995.701	-21.0
1995.728	-15.7
1995.756	-21.2
1995.783	-23.4
1995.837	-23.7
1995.864	-24.0
1995.890	-21.5
1995.946	-22.0
1995.973	-17.6
1996.000	-20.9
1996.027	-23.1
1996.053	-22.3
1996.081	-22.9
1996.108	-18.7
1996.163	-18.9
1996.190	-21.5
1996.217	-19.1
1996.244	-17.9
1996.271	-19.8
1996.298	-20.8
1996.325	-20.5
1996.352	-18.6
1996.379	-18.5
1996.406	-16.7
1996.433	-17.4
1996.488	-18.6
1996.515	-19.0
1996.542	-17.4
1996.569	-15.8
1996.596	-18.4
1996.623	-21.6
1996.650	-22.3
1996.677	-24.5
1996.704	-20.7
1996.732	-18.7
1996.759	-17.4
1996.813	-14.1
1996.840	-13.1
1996.867	-15.8
1996.894	-21.5
1996.921	-20.9
1996.948	-20.3
1996.975	-24.3
1997.002	-23.8
1997.030	-19.6
1997.057	-21.5
1997.084	-20.1
1997.138	-21.2
1997.165	-20.2
1997.193	-20.7
1997.220	-18.3
1997.247	-16.7
1997.274	-17.7
1997.301	-20.3
1997.328	-17.6
1997.356	-15.0
1997.383	-17.0
1997.410	-14.4
1997.464	-18.1
1997.491	-15.5
1997.519	-14.4
1997.546	-10.5
1997.573	-13.6
1997.627	-14.5
1997.654	-13.7
1997.681	-12.3
1997.709	-9.4
1997.736	-10.2
1997.790	-13.5
1997.817	-12.2
1997.845	-11.2
1997.872	-16.3
1997.899	-17.5
1997.926	-16.1
1997.953	-19.6
1997.980	-15.6
1998.008	-16.2
1998.035	-14.4
1998.089	-15.9
1998.116	-16.2
1998.143	-15.7
1998.171	-15.6
1998.198	-14.0
1998.225	-13.4
1998.252	-16.3
1998.278	-13.8
1998.306	-14.1
1998.334	-14.0
1998.361	-15.6
1998.415	-19.2
1998.442	-18.5
1998.469	-17.8
1998.497	-15.5
1998.524	-16.6
1998.551	-20.0
1998.605	-19.0
1998.632	-21.2
1998.659	-18.8
1998.687	-19.5
1998.714	-21.8
1998.741	-22.0
1998.768	-22.1
1998.823	-18.9
1998.850	-21.5
1998.877	-22.7
1998.904	-24.7
1998.931	-18.5
1998.958	-20.1
1998.986	-19.2
1999.013	-21.7
1999.040	-18.8
1999.094	-23.0
1999.125	-9.6
1999.148	-14.5
1999.176	-15.8
1999.203	-17.2
1999.230	-14.8
1999.257	-14.2
1999.284	-15.0
1999.339	-15.7
1999.366	-16.5
1999.393	-17.7
1999.420	-14.2
1999.447	-16.8
1999.474	-15.9
1999.502	-14.3
1999.529	-14.1
1999.556	-15.8
1999.583	-13.9
1999.610	-16.6
1999.637	-12.9
1999.692	-15.5
1999.719	-12.2
1999.746	-13.5
1999.773	-10.4
1999.801	-11.6
1999.828	-14.6
1999.855	-16.6
1999.882	-13.7
1999.909	-13.4
1999.963	-9.9
1999.991	-10.1
2000.018	-13.0
2000.045	-11.6
2000.072	-8.4
2000.099	-11.5
2000.126	-13.3
2000.153	-11.6
2000.180	-13.3
2000.207	-14.1
2000.235	-8.8
2000.289	-12.9
2000.316	-13.2
2000.343	-15.2
2000.370	-14.0
2000.397	-13.4
2000.424	-12.3
2000.451	-12.9
2000.478	-15.1
2000.505	-14.0
2000.533	-11.3
2000.587	-13.5
2000.614	-13.2
2000.641	-11.4
2000.668	-16.3
2000.695	-14.4
2000.722	-8.0
2000.749	-6.6
2000.776	-8.3
2000.803	-11.6
2000.858	-9.6
2000.884	-9.3
2000.913	-9.4
2000.939	-11.5
2000.966	-12.2
2000.993	-8.2
2001.020	-8.2
2001.075	-8.0
2001.102	-9.8
2001.129	-12.3
2001.156	-8.3
2001.183	-4.8
2001.210	-9.3
2001.238	-5.6
2001.265	-6.4
2001.292	-6.2
2001.319	-8.2
2001.346	-7.9
2001.373	-5.9
2001.401	-7.1
2001.428	-8.9
2001.455	-10.1
2001.482	-3.8
2001.509	-3.0
2001.536	-1.3
2001.564	-5.1
2001.591	-2.2
2001.618	-7.2
2001.645	-7.7
2001.672	-6.1
2001.699	-1.4
2001.727	-2.0
2001.754	-3.0
2001.781	-7.7
2001.808	-9.6
2001.835	-4.3
2001.862	-2.0
2001.890	-4.6
2001.917	-7.5
2001.944	-7.8
2001.971	-7.3
2001.998	-2.6
2002.026	-5.7
2002.052	-8.9
2002.081	-2.4
2002.107	-2.2
2002.134	-1.6
2002.161	-2.4
2002.189	-8.1
2002.216	-6.2
2002.243	-7.5
2002.270	-2.3
2002.297	-6.7
2002.324	-5.6
2002.351	-5.9
2002.379	-4.0
2002.406	-4.5
2002.433	-6.9
2002.460	-3.8
2002.487	-1.0
2002.514	-3.4
2002.542	-1.5
2002.569	0.2
2002.596	0.6
2002.623	1.8
2002.650	-2.2
2002.677	-4.3
2002.705	-4.0
2002.732	-1.8
2002.759	-3.0
2002.786	0.5
2002.813	3.9
2002.840	-2.8
2002.868	-2.2
2002.893	1.3
2002.922	-0.2
2002.949	0.1
2002.976	-1.5
2003.003	-2.6
2003.031	-3.0
2003.058	2.9
2003.085	2.3
2003.112	4.8
2003.139	-0.6
2003.166	-2.3
2003.194	-0.1
2003.221	0.7
2003.248	-0.3
2003.279	-0.7
2003.302	-2.5
2003.329	-1.5
2003.357	-0.2
2003.384	0.2
2003.411	0.1
2003.438	-2.1
2003.465	-0.7
2003.492	-3.2
2003.520	-2.7
2003.547	1.1
2003.574	-0.7
2003.601	-0.1
2003.628	-3.2
2003.655	-0.8
2003.683	1.3
2003.710	1.0
2003.737	0.8
2003.764	3.0
2003.791	1.0
2003.818	1.3
2003.846	0.3
2003.871	-0.6
2003.911	-1.3
2003.927	2.4
2003.954	1.7
2003.981	-1.6
2004.008	-0.6
2004.036	4.7
2004.063	4.3
2004.090	2.2
2004.113	-3.4
2004.148	1.3
2004.171	1.4
2004.198	1.0
2004.225	1.1
2004.251	3.0
2004.279	1.3
2004.307	4.6
2004.334	0.1
2004.361	-0.0
2004.388	-1.0
2004.415	2.8
2004.442	2.1
2004.469	0.8
2004.496	4.7
2004.523	4.8
2004.550	2.9
2004.577	-0.3
2004.605	0.9
2004.632	3.2
2004.659	3.0
2004.686	4.3
2004.713	7.1
2004.740	3.2
2004.767	3.8
2004.794	5.2
2004.821	3.9
2004.848	4.4
2004.875	5.2
2004.902	0.6
2004.930	3.5
2004.957	5.0
2004.984	11.0
2005.011	5.4
2005.038	4.6
2005.065	7.1
2005.092	5.8
2005.120	7.4
2005.147	6.7
2005.174	10.6
2005.201	9.4
2005.228	3.5
2005.255	4.3
2005.282	8.7
2005.310	5.8
2005.337	7.7
2005.364	7.6
2005.391	6.8
2005.418	7.7
2005.446	8.5
2005.473	8.8
2005.500	7.5
2005.527	10.1
2005.554	5.8
2005.582	7.6
2005.609	4.9
2005.636	5.7
2005.663	7.5
2005.690	8.0
2005.712	7.4
2005.749	8.0
2005.772	9.1
2005.799	7.2
2005.826	7.9
2005.853	11.1
2005.880	10.6
2005.908	10.0
2005.935	10.2
2005.962	11.2
2005.989	11.4
2006.016	8.8
2006.043	5.1
2006.070	7.3
2006.098	8.0
2006.125	6.9
2006.152	6.9
2006.179	8.4
2006.206	3.6
2006.233	7.2
2006.261	6.1
2006.288	5.4
2006.315	5.2
2006.342	6.4
2006.369	10.1
2006.396	10.6
2006.424	9.8
2006.451	9.8
2006.478	9.0
2006.505	10.6
2006.532	10.9
2006.559	9.5
2006.587	7.8
2006.614	5.0
2006.641	8.6
2006.668	11.4
2006.695	10.8
2006.722	11.8
2006.750	10.6
2006.777	11.2
2006.804	11.4
2006.823	10.6
2006.889	10.5
2006.913	9.3
2006.939	13.6
2006.967	12.1
2006.994	11.2
2007.021	8.2
2007.048	5.9
2007.076	9.1
2007.103	8.6
2007.130	8.2
2007.157	10.2
2007.184	7.4
2007.211	8.7
2007.239	8.8
2007.265	11.9
2007.293	12.0
2007.320	10.7
2007.347	5.3
2007.374	10.3
2007.402	11.9
2007.429	10.7
2007.456	7.3
2007.483	7.1
2007.510	7.5
2007.537	6.2
2007.565	5.4
2007.592	6.5
2007.619	10.4
2007.646	7.3
2007.673	5.3
2007.700	6.0
2007.728	10.7
2007.755	9.9
2007.782	8.5
2007.809	9.1
2007.836	6.7
2007.863	10.5
2007.891	15.0
2007.918	14.5
2007.945	12.3
2007.972	7.3
2007.999	8.7
2008.026	10.6
2008.053	13.2
2008.080	12.6
2008.108	10.1
2008.135	11.5
2008.162	8.3
2008.189	11.2
2008.216	11.8
2008.243	10.1
2008.270	9.4
2008.297	10.5
2008.324	10.3
2008.345	10.3
2008.379	16.3
2008.406	17.3
2008.433	15.2
2008.460	13.9
2008.487	15.0
2008.514	15.9
2008.541	14.0
2008.568	12.9
2008.595	11.4
2008.622	13.5
2008.649	11.9
2008.677	12.0
2008.704	10.3
2008.731	12.6
2008.758	12.7
2008.785	13.5
2008.812	14.0
2008.839	12.2
2008.866	13.7
2008.893	13.0
2008.920	17.1
2008.947	13.2
2008.975	12.1
2009.002	14.1
2009.029	15.2
2009.056	15.8
2009.083	14.0
2009.110	12.1
2009.137	13.9
2009.165	15.3
2009.192	15.5
2009.219	15.9
2009.246	16.0
2009.273	16.1
2009.300	16.8
2009.328	16.5
2009.355	15.7
2009.382	15.2
2009.409	14.8
2009.436	16.3
2009.463	16.9
2009.491	15.4
2009.518	13.7
2009.545	16.1
2009.572	19.8
2009.599	16.7
2009.626	17.1
2009.654	17.6
2009.681	18.9
2009.708	20.9
2009.735	20.0
2009.762	19.3
2009.789	19.6
2009.817	21.1
2009.844	22.0
2009.871	18.0
2009.898	20.2
2009.925	18.3
2009.952	17.1
2009.980	22.1
2010.007	19.3
2010.034	19.4
2010.061	18.2
2010.088	14.7
2010.115	18.7
2010.143	21.5
2010.170	24.8
2010.197	18.2
2010.224	18.3
2010.251	18.0
2010.278	20.8
2010.306	20.8
2010.333	18.0
2010.360	18.8
2010.387	22.4
2010.414	22.1
2010.441	22.7
2010.469	23.1
2010.496	22.7
2010.523	21.4
2010.550	22.3
2010.577	19.7
2010.604	18.2
2010.632	18.5
2010.659	14.3
2010.686	15.9
2010.713	15.6
2010.740	14.7
2010.767	15.1
2010.795	17.7
2010.822	16.2
2010.849	15.1
2010.876	16.0
2010.903	12.7
2010.930	13.8
2010.958	13.9
2010.985	16.6
2011.012	13.9
2011.039	14.0
2011.066	15.6
2011.093	14.9
2011.121	14.4
2011.148	14.6
2011.175	15.2
2011.202	15.6
2011.229	12.4
2011.256	14.7
2011.284	13.8
2011.311	13.7
2011.338	11.2
2011.365	15.6
2011.392	16.7
2011.419	16.9
2011.447	18.2
2011.474	20.8
2011.501	18.6
2011.528	18.0
2011.555	17.2
2011.582	18.0
2011.610	20.9
2011.637	21.2
2011.664	20.9
2011.691	18.8
2011.718	17.8
2011.745	19.8
2011.773	21.1
2011.800	23.0
2011.827	18.1
2011.854	17.3
2011.881	18.9
2011.908	23.0
2011.936	22.1
2011.963	22.9
2011.990	22.4
2012.017	24.5
2012.044	24.3
2012.071	25.9
2012.098	25.5
2012.125	26.1
2012.153	24.2
2012.180	23.8
2012.207	23.9
2012.234	25.6
2012.261	24.0
2012.288	24.5
2012.315	24.3
2012.342	24.9
2012.369	26.5
2012.396	26.0
2012.423	25.9
2012.451	30.4
2012.478	28.9
2012.505	28.6
2012.532	31.9
2012.559	33.2
2012.586	30.9
2012.613	30.8
2012.640	26.3
2012.667	30.1
2012.694	28.5
2012.721	31.7
2012.748	31.4
2012.776	32.3
2012.803	29.4
2012.830	29.5
2012.857	31.1
2012.884	31.0
2012.911	30.2
2012.938	33.6
2012.965	30.9
2012.992	31.9
2013.019	31.9
2013.047	31.6
2013.074	33.9
2013.101	33.0
2013.128	31.2
2013.155	33.1
2013.182	34.5
2013.210	32.2
2013.232	29.6
2013.269	32.3
2013.291	28.9
2013.318	32.0
2013.345	32.6
2013.373	30.5
2013.400	29.2
2013.427	29.6
2013.454	29.1
2013.481	30.9
2013.508	29.4
2013.536	29.2
2013.563	31.0
2013.590	30.5
2013.617	25.7
2013.644	27.2
2013.668	28.6
2013.705	27.3
2013.726	28.4
2013.753	29.1
2013.780	29.2
2013.807	32.5
2013.834	33.8
2013.862	32.7
2013.889	31.3
2013.916	31.3
2013.943	28.3
2013.970	30.1
2013.997	31.7
2014.025	31.7
2014.052	32.6
2014.079	31.8
2014.106	33.2
2014.133	35.6
2014.160	35.7
2014.188	35.4
2014.215	34.5
2014.242	34.0
2014.269	33.6
2014.296	33.6
2014.323	31.1
2014.351	31.1
2014.378	31.3
2014.405	32.7
2014.432	32.5
2014.459	34.0
2014.486	35.4
2014.514	36.3
2014.541	36.0
2014.568	33.3
2014.595	35.5
2014.622	37.0
2014.649	37.1
2014.677	35.2
2014.704	35.7
2014.731	33.0
2014.758	34.9
2014.785	38.2
2014.812	37.6
2014.840	35.1
2014.867	34.7
2014.894	31.5
2014.921	33.7
2014.948	42.1
2014.976	38.8
2015.003	34.7
2015.030	38.4
2015.057	38.4
2015.084	41.2
2015.111	41.3
2015.138	44.0
2015.166	43.2
2015.193	41.6
2015.220	40.5
2015.247	42.2
2015.274	43.2
2015.301	43.1
2015.329	42.3
2015.356	40.8
2015.383	39.8
2015.410	42.8
2015.437	43.7
2015.464	45.0
2015.492	46.1
2015.519	44.1
2015.546	44.9
2015.573	45.0
2015.600	47.3
2015.627	44.9
2015.655	49.4
2015.682	49.5
2015.709	47.3
2015.736	47.8
2015.763	49.3
2015.790	50.0
2015.818	51.7
2015.845	48.4
2015.872	45.0
2015.899	48.2
2015.926	47.7
2015.953	46.0
2015.981	45.9
2016.008	42.7
2016.035	47.5
2016.062	51.5
2016.089	47.5
2016.116	50.6
2016.122	47.6
2016.143	46.9
2016.170	47.3
2016.195	46.2
2016.224	50.0
2016.252	48.4
2016.279	48.7
2016.306	47.2
2016.333	46.4
2016.360	45.8
2016.387	46.1
2016.414	49.0
2016.441	48.6
2016.468	49.9
2016.495	47.9
2016.522	46.9
2016.550	46.8
2016.577	44.6
2016.604	44.0
2016.631	42.7
2016.658	46.3
2016.685	46.3
2016.712	46.8
2016.739	44.5
2016.766	43.1
2016.793	45.7
2016.821	46.3
2016.848	47.8
2016.875	48.6
2016.902	52.4
2016.928	49.7
2016.956	47.5
2016.983	46.6
2017.010	46.3
2017.037	47.3
2017.065	46.0
2017.092	44.6
2017.119	44.0
2017.146	45.0
2017.173	46.2
2017.200	46.6
2017.227	48.1
2017.255	50.0
2017.282	48.3
2017.309	47.8
2017.336	47.1
2017.363	47.8
2017.390	44.4
2017.418	47.7
2017.445	47.1
2017.472	46.6
2017.499	47.0
2017.526	48.2
2017.554	47.8
2017.581	51.8
2017.608	49.6
2017.635	48.6
2017.662	48.9
2017.689	51.3
2017.717	50.6
2017.744	47.9
2017.771	47.6
2017.798	48.9
2017.825	50.8
2017.852	51.1
2017.879	52.6
2017.907	54.0
2017.934	52.5
2017.961	53.1
2017.988	50.9
2018.014	51.2
